turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],Turbine Tax [M€]
12,EIB2,6,64.14824803442664,-44.8568745768077,7469.10014517913,7703.125200949538,3.0380533830809475,1211.137330858439,199.7107715323816,227.23463631489236
12,EIB2,7,64.13091096714092,-44.62003443489502,7468.950059572976,7703.125200949538,3.040001756010617,1209.0102910748435,199.3600328131309,227.23463631489236
12,EIB2,8,64.13252915371844,-44.5761247450688,7468.311847082175,7703.125200949538,3.048286867236937,1208.6159421423042,199.29500655428825,227.23463631489236
12,EIB2,9,64.13127254201758,-44.527420603192994,7467.989357563501,7703.125200949538,3.0524733436378844,1208.178534671767,199.22288014781944,227.23463631489236
12,EIB2,10,64.130886672827,-44.48100837676404,7467.579532295569,7703.125200949538,3.057793590385033,1207.7617106855018,199.15414785977143,227.23463631489236
15,EIB1N,1,63.74352911917254,-42.20712622858092,3756.102446329098,3887.957720188302,3.3913762275382417,593.6700909146141,97.8933675574356,121.74379203073316
15,EIB1N,2,63.74979824264168,-42.30453876312244,3756.185982877679,3887.957720188302,3.389227630393095,594.1075174731303,97.96549711142112,121.74379203073316
15,EIB1N,3,63.81055172875703,-42.06455111084811,3751.113690572116,3887.957720188302,3.519689242134016,593.0298638291221,97.7877971634416,121.74379203073316
15,EIB1N,4,63.78324294387063,-42.1254970029248,3753.1591934501193,3887.957720188302,3.46707799928581,593.3035385872245,97.8329248262566,121.74379203073316
15,EIB1N,5,63.70407801853567,-42.09279989583015,3758.057786670906,3887.957720188302,3.341084005180614,593.1567137140482,97.80871410468514,121.74379203073316
15,EIB1N,6,63.73183416006066,-42.0540597712447,3756.089082933308,3887.957720188302,3.3917199400153835,592.982752945512,97.78002880334438,121.74379203073316
15,EIB1N,7,63.76927428827475,-42.23329948575776,3754.587096511344,3887.957720188302,3.430351698127485,593.787620736273,97.91274766468152,121.74379203073316
15,EIB1N,8,63.74756774117272,-42.09019182808326,3755.262798876253,3887.957720188302,3.41297233308449,593.1450023043793,97.80678294906711,121.74379203073316
