utm_x,utm_y,elevation
465387.8158270766,6093085.481433854,-27.98174
465677.13818492304,6093085.481433854,-26.83906
465966.4605427694,6093085.481433854,-26.7071
466255.7829006158,6093085.481433854,-26.214447
454972.2109446064,6093365.186308397,-42.253983
455261.5333024528,6093365.186308397,-41.985847
455550.8556602992,6093365.186308397,-41.39418
455840.1780181456,6093365.186308397,-40.96921
456129.500375992,6093365.186308397,-40.986702
456418.8227338384,6093365.186308397,-41.408875
456708.14509168477,6093365.186308397,-41.021233
456997.4674495312,6093365.186308397,-40.92149
457286.78980737756,6093365.186308397,-40.11878
457576.112165224,6093365.186308397,-40.102726
457865.43452307035,6093365.186308397,-40.158146
458154.7568809168,6093365.186308397,-39.34345
458444.07923876314,6093365.186308397,-39.21292
458733.40159660956,6093365.186308397,-39.536613
459022.7239544559,6093365.186308397,-39.499695
459312.04631230235,6093365.186308397,-38.966236
459601.3686701487,6093365.186308397,-38.9653
459890.69102799514,6093365.186308397,-38.876
460180.0133858415,6093365.186308397,-38.603806
460469.33574368793,6093365.186308397,-38.185726
460758.6581015343,6093365.186308397,-38.16188
461047.9804593807,6093365.186308397,-37.94588
461337.3028172271,6093365.186308397,-37.392525
461626.6251750735,6093365.186308397,-37.071648
461915.9475329199,6093365.186308397,-36.876007
462205.2698907663,6093365.186308397,-36.730232
462494.59224861267,6093365.186308397,-36.66362
462783.9146064591,6093365.186308397,-36.390915
463073.23696430546,6093365.186308397,-35.77606
463362.5593221519,6093365.186308397,-35.095203
463651.88167999825,6093365.186308397,-34.8902
463941.20403784467,6093365.186308397,-34.18429
464230.52639569103,6093365.186308397,-33.275574
464519.84875353746,6093365.186308397,-32.339264
464809.1711113838,6093365.186308397,-31.294495
465098.49346923025,6093365.186308397,-29.973528
465387.8158270766,6093365.186308397,-29.272963
465677.13818492304,6093365.186308397,-27.66871
465966.4605427694,6093365.186308397,-26.870205
466255.7829006158,6093365.186308397,-26.551985
454972.2109446064,6093644.8911829395,-42.420975
455261.5333024528,6093644.8911829395,-42.13405
455550.8556602992,6093644.8911829395,-41.58164
455840.1780181456,6093644.8911829395,-41.360703
456129.500375992,6093644.8911829395,-41.202
456418.8227338384,6093644.8911829395,-41.59828
456708.14509168477,6093644.8911829395,-41.204674
456997.4674495312,6093644.8911829395,-41.124344
457286.78980737756,6093644.8911829395,-40.4803
457576.112165224,6093644.8911829395,-40.40345
457865.43452307035,6093644.8911829395,-40.619026
458154.7568809168,6093644.8911829395,-39.559956
458444.07923876314,6093644.8911829395,-39.37015
458733.40159660956,6093644.8911829395,-39.8218
459022.7239544559,6093644.8911829395,-39.864544
459312.04631230235,6093644.8911829395,-39.00275
459601.3686701487,6093644.8911829395,-39.34677
459890.69102799514,6093644.8911829395,-38.835373
460180.0133858415,6093644.8911829395,-39.05245
460469.33574368793,6093644.8911829395,-38.78971
460758.6581015343,6093644.8911829395,-38.26942
461047.9804593807,6093644.8911829395,-38.10713
461337.3028172271,6093644.8911829395,-37.870377
461626.6251750735,6093644.8911829395,-37.430748
461915.9475329199,6093644.8911829395,-37.051125
462205.2698907663,6093644.8911829395,-36.825665
462494.59224861267,6093644.8911829395,-36.55917
462783.9146064591,6093644.8911829395,-36.365807
463073.23696430546,6093644.8911829395,-36.299305
463362.5593221519,6093644.8911829395,-35.69664
463651.88167999825,6093644.8911829395,-35.575577
463941.20403784467,6093644.8911829395,-35.116447
464230.52639569103,6093644.8911829395,-34.25351
464519.84875353746,6093644.8911829395,-32.93787
